timestamp,wind_direction,wind_speed,temperature,rainfall,humidity
2025-04-04 22:00:00,91.9546,2.00468,26.2643,0.0,95.1318
2025-04-04 23:00:00,89.2297,2.2002,26.2334,0.0,94.7091
2025-04-05 00:00:00,52.5283,2.79937,25.7895,0.0,96.5043
2025-04-05 01:00:00,69.1531,4.51059,25.6659,0.0,96.7242
2025-04-05 02:00:00,44.8808,2.34606,25.3747,0.0,97.5549
2025-04-05 03:00:00,10.1855,2.46694,25.1966,0.0,97.7456
2025-04-05 04:00:00,44.7272,2.02624,25.1615,0.0,97.4825
2025-04-05 05:00:00,6.16366,2.20474,25.1962,0.0,96.3922
2025-04-05 06:00:00,52.8143,4.0085,25.0241,0.0,96.7646
2025-04-05 07:00:00,47.6246,4.15798,24.5008,1.2,98.2968
2025-04-05 08:00:00,263.146,3.28996,24.461,0.0,99.131
2025-04-05 09:00:00,168.552,2.41277,24.542,0.0,96.5935
2025-04-05 10:00:00,126.388,2.88019,25.853,0.0,90.3928
2025-04-05 11:00:00,81.5751,4.39982,28.9736,0.0,77.1841
2025-04-05 12:00:00,101.157,5.18094,29.7972,0.0,70.3389
2025-04-05 13:00:00,80.0081,5.80422,30.5894,0.0,65.3809
2025-04-05 14:00:00,45.6418,4.19266,30.8774,0.0,64.7163
2025-04-05 15:00:00,350.028,5.92419,31.5511,0.0,57.0243
2025-04-05 16:00:00,298.515,4.87247,30.9516,0.0,71.8909
2025-04-05 17:00:00,266.038,5.47154,30.4316,0.0,75.244
2025-04-05 18:00:00,260.64,5.50944,29.0598,0.0,79.8781
2025-04-05 19:00:00,14.5818,4.28906,26.7406,0.2,95.3778
2025-04-05 20:00:00,345.384,5.24915,24.6299,0.0,96.3345
2025-04-05 21:00:00,357.047,1.64026,26.0071,0.0,91.5746
2025-04-05 22:00:00,107.459,1.9483,26.0407,0.0,93.2273
2025-04-05 23:00:00,139.782,2.43105,26.335,0.0,93.1422
2025-04-06 00:00:00,199.431,0.63693,26.6514,0.0,92.0861
2025-04-06 01:00:00,101.449,1.2772,26.5693,0.0,92.9626
2025-04-06 02:00:00,5.67764,1.50328,25.9193,0.0,95.632
2025-04-06 03:00:00,57.9895,0.97109,26.4234,0.0,94.0773
2025-04-06 04:00:00,92.2268,1.24053,26.3365,0.0,93.8656
2025-04-06 05:00:00,55.6543,1.79613,26.0412,0.0,95.7462
2025-04-06 06:00:00,63.773,3.3903,25.8744,0.0,96.4885
2025-04-06 07:00:00,1.45593,1.87629,25.5006,0.0,98.8031
2025-04-06 08:00:00,24.235,2.35184,25.8364,0.0,97.931
2025-04-06 09:00:00,51.9123,2.75916,27.2738,0.0,90.0828
2025-04-06 10:00:00,67.8636,4.86494,29.1899,0.0,79.6931
2025-04-06 11:00:00,77.1971,5.70197,29.9487,0.0,71.0369
2025-04-06 12:00:00,63.3752,3.94856,30.4225,0.0,69.9071
2025-04-06 13:00:00,81.5963,5.07004,32.1341,0.0,62.0261
2025-04-06 14:00:00,69.0371,5.24674,32.8888,0.0,58.7949
2025-04-06 15:00:00,120.128,5.32144,31.9835,0.0,62.7527
2025-04-06 16:00:00,107.666,6.12134,32.0447,0.0,63.4656
2025-04-06 17:00:00,92.2035,4.22055,30.9739,0.0,66.7109
