date,time,location,datetime,latitude,longitude
2025-04-26,14:40,Riverside Road (near Junction of Riverside Road and Admiralty Road),2025-04-26T14:40:00,1.4468457,103.777234
2025-04-21,15:18,Yishun Ave 7 (near intersection of Yishun St 22),2025-04-21T15:18:00,1.4384951,103.8332015
2025-04-20,17:19,Jln Pokok Serunai,2025-04-20T17:19:00,1.3139486,103.9364623
2025-04-20,17:19,Alexandra Rd (opp Alexis Condo),2025-04-20T17:19:00,1.2883283,103.805457
2025-04-20,17:17,Junction of Boon Lay Way and Corporation Rd,2025-04-20T17:17:00,1.3428518,103.7160287
2025-04-20,17:15,KG Java Rd (Newton Circus to CTE),2025-04-20T17:15:00,1.3130035,103.8395815
2025-04-20,17:14,Junction of Stevens Rd and Balmoral Rd,2025-04-20T17:14:00,1.31301,103.8299083
2025-04-20,17:13,Orchard Rd (Paterson Rd to Mt Elizabeth),2025-04-20T17:13:00,1.3050356,103.8318311
2025-04-20,17:12,Cambridge Rd,2025-04-20T17:12:00,1.3149686,103.8485505
2025-04-20,17:12,Carlisle Rd,2025-04-20T17:12:00,1.314383,103.8480691
2025-04-20,17:06,Junction of Sunset Dr and Sunset Way Rd,2025-04-20T17:06:00,1.325914,103.765845
2025-04-20,17:02,Hillcrest Rd (Watten Rise to Dunearn Rd),2025-04-20T17:02:00,1.3298202,103.8074287
2025-04-20,17:02,Thomson Rd (Balestier Rd to Novena Rise),2025-04-20T17:02:00,1.3264451,103.8418253
2025-04-20,17:00,Junction of Toa Payoh Lor 1 and Toa Payoh Lor 2,2025-04-20T17:00:00,1.3379277,103.8450404
2025-04-20,17:00,Junction of Lor Kismis and Toh Tuck Rise,2025-04-20T17:00:00,1.3365688,103.7645978
2025-04-20,16:56,Eng Kong Pl (Greenridge Cres to Eng Kong Gdn),2025-04-20T16:56:00,1.3332766,103.7669994
2025-04-20,16:48,Upp Paya Lebar Service Rd (Lim Teck Boo Rd to Rochdale Rd),2025-04-20T16:48:00,1.3434527,103.8848148
2025-04-20,16:48,Jln Lokam (near Upp Paya Lebar Rd),2025-04-20T16:48:00,1.3469012,103.8843356
2025-04-20,16:48,Thrift Dr (near Jln Usaha),2025-04-20T16:48:00,1.3454466,103.8832484
2025-04-20,16:36,KPE(ECP) after Buangkok East Dr Exit,2025-04-20T16:36:00,1.375503,103.909405
2025-04-15,16:55,TPE (Punggol West Flyover),2025-04-15T16:55:00,1.3984457,103.9072046
2025-04-15,16:28,Yishun Ave 7 (near intersection of Yishun St 22),2025-04-15T16:28:00,1.4384951,103.8332015
2025-04-13,14:15,Jln Pokok Serunai,2025-04-13T14:15:00,1.3139486,103.9364623
2025-04-13,14:15,Bt Timah Rd (Wilby Rd to Blackmore Dr),2025-04-13T14:15:00,1.3345306,103.7827795
2025-04-13,14:12,Lor Ong Lye (near Lor Lew Lian),2025-04-13T14:12:00,1.3500706,103.8772944
2025-04-13,14:11,Junction of Toa Payoh Lor 1 and Toa Payoh Lor 2,2025-04-13T14:11:00,1.3379277,103.8450404
2025-04-13,14:11,Eng Kong Pl (Greenridge Cres to Eng Kong Gdn),2025-04-13T14:11:00,1.3332766,103.7669994
2025-04-13,14:03,Upp Paya Lebar Service Rd (Lim Teck Boo Rd to Rochdale Rd),2025-04-13T14:03:00,1.3434527,103.8848148
2025-04-13,14:03,Jln Lokam (near Upp Paya Lebar Rd),2025-04-13T14:03:00,1.3469012,103.8843356
2025-04-13,14:03,Thrift Dr (near Jln Usaha),2025-04-13T14:03:00,1.3454466,103.8832484
2025-04-13,13:56,TPE Slip Rd towards Punggol Rd,2025-04-13T13:56:00,1.3971767,103.9030134
2025-04-13,13:53,KPE(ECP) after Buangkok East Dr Exit,2025-04-13T13:53:00,1.375503,103.909405,
2025-04-13,13:51,TPE (Punggol West Flyover),2025-04-13T13:51:00,1.3984457,103.9072046
2025-04-13,13:49,Junction of Yishun Ave 2 and Yishun Ave 5,2025-04-13T13:49:00,1.4303202,103.8352756
2025-04-13,13:39,Yishun Avenue 7,2025-04-13T13:39:00,1.4384951,103.8332015
2025-04-05,18:35,Jln Arif,2025-04-05T18:35:00,1.3673583,103.8834044
2025-03-24,00:37,Thomson Rd (Balestier Rd to Novena Rise),2025-03-24T00:37:00,1.3264451,103.8418253
2025-03-24,00:33,Macpherson Rd OD (Siang Kuang Ave),2025-03-24T00:33:00,1.331099,103.8785838
2025-03-24,00:29,Lor Gambir,2025-03-24T00:29:00,1.3455826,103.8755509
2025-03-24,00:28,Puay Hee Ave (near Siak Kew Ave),2025-03-24T00:28:00,0.8118812,101.7979613
2025-03-24,00:28,Siang Kuang Ave,2025-03-24T00:28:00,1.3296528,103.8720691
2025-03-24,00:28,Upp Paya Lebar Service Rd (Lim Teck Boo Rd to Rochdale Rd),2025-03-24T00:28:00,1.3434527,103.8848148
2025-03-24,00:28,Jln Lokam (near Upp Paya Lebar Rd),2025-03-24T00:28:00,1.3469012,103.8843356
2025-03-24,00:28,Thrift Dr (near Jln Usaha),2025-03-24T00:28:00,1.3454466,103.8832484
2025-03-24,00:23,Junction of Toa Payoh Lor 1 and Toa Payoh Lor 2,2025-03-24T00:23:00,1.3379277,103.8450404
2025-03-24,00:20,Langsat Rd (Everitt Rd North to Lor 106 Changi),2025-03-24T00:20:00,1.3450101,103.9832089
2025-03-24,00:20,Lor 105 Changi,2025-03-24T00:20:00,1.3164609,103.9026964
2025-03-24,00:15,Marine Parade Ctrl,2025-03-24T00:15:00,1.302042,103.9065384
2025-03-24,00:15,Marine Parade Rd,2025-03-24T00:15:00,1.3073587,103.9179652
2025-03-24,00:12,East Coast Rd,2025-03-24T00:12:00,1.3085237,103.9149972
2025-03-23,01:31,Mountbatten Road/Jalan Seaview,2025-03-23T01:31:00,1.3016601,103.8966467
2025-03-20,13:50,Mountbatten Road/Jalan Seaview,2025-03-20T13:50:00,1.3016601,103.8966467
2025-03-20,13:40,ECP (towards Changi Airport) after Bayshore Rd Exit,2025-03-20T13:40:00,1.358604,103.9899436
2025-03-20,10:20,ECP (towards Changi Airport) at Tanah Merah Coast Road Entrance,2025-03-20T10:20:00,1.358604,103.9899436
2025-03-20,07:40,PIE (towards Changi Airport) after TPE,2025-03-20T07:40:00,1.3433702,103.9693898
2025-03-19,14:45,Mountbatten Road / Jalan Seaview,2025-03-19T14:45:00,1.3016601,103.8966467
2025-03-08,15:20,Lor Buangkok (near Kampung Buangkok),2025-03-08T15:20:00,1.38333,103.878991
2025-03-08,15:20,"Sim Ave East (towards New Upper Changi Rd), from Lengkong Tiga to Jln Kembangan",2025-03-08T15:20:00,1.3229561,103.9135494
2025-03-08,15:10,Aljunied Rd under PIE Flyover,2025-03-08T15:10:00,1.3223031,103.8814376
2025-02-17,16:30,Braddell Road (towards Bartley) after Toa Payoh,2025-02-17T16:30:00,1.3434257,103.8545674
2025-02-17,15:56,Lor Gambir,2025-02-17T15:56:00,1.3455826,103.8755509
2025-02-15,16:20,Happy Ave North,2025-02-15T16:20:00,1.3310617,103.8810144
2025-02-15,16:08,Wan Tho Ave (Pheng Geck Ave),2025-02-15T16:08:00,1.3321392,103.8700728
2025-02-15,16:08,Upp Paya Lebar Service Rd (Lim Teck Boo Rd to Rochdale Rd),2025-02-15T16:08:00,1.3434527,103.8848148
2025-02-15,16:08,Jln Lokam (near Upp Paya Lebar Rd),2025-02-15T16:08:00,1.3469012,103.8843356
2025-02-15,16:08,Thrift Dr (near Jln Usaha),2025-02-15T16:08:00,1.3454466,103.8832484
2025-02-15,16:06,Lor Gambir,2025-02-15T16:06:00,1.3455826,103.8755509
2025-02-15,16:04,Puay Hee Ave (near Siak Kew Ave),2025-02-15T16:04:00,0.8118812,101.7979613
2025-02-15,16:04,Siang Kuang Ave,2025-02-15T16:04:00,1.3296528,103.8720691
2025-02-15,15:54,Junction of Toa Payoh Lor 1 and Toa Payoh Lor 2,2025-02-15T15:54:00,1.3379277,103.8450404
2025-01-10,21:15,Jln Pokok Serunai,2025-01-10T21:15:00,1.3139486,103.9364623
2025-01-10,20:02,Jln Seaview,2025-01-10T20:02:00,1.300828,103.8959163
2025-01-10,20:02,Junction of Mtbatten Rd and TG Katong Rd South,2025-01-10T20:02:00,1.3020149,103.8970382
2025-01-10,19:23,Jln Seaview,2025-01-10T19:23:00,1.300828,103.8959163
2025-01-10,19:23,Junction of Mtbatten Rd and TG Katong Rd South,2025-01-10T19:23:00,1.3020149,103.8970382
