datetime,location,latitude,longitude,flood,temperature_nearest_value,temperature_nearest_distance,temperature_nearest_station,rainfall_nearest_value,rainfall_nearest_distance,rainfall_nearest_station,humidity_nearest_value,humidity_nearest_distance,humidity_nearest_station,wind_direction_nearest_value,wind_direction_nearest_distance,wind_direction_nearest_station,wind_speed_nearest_value,wind_speed_nearest_distance,wind_speed_nearest_station
2025-04-15T16:28:00,Yishun Ave 7 (near intersection of Yishun St 22),1.4304,103.8354,1,28.1,5.7622856245291,Woodlands Avenue 9,3.4,1.4597822983363102,Yishun Ring Road,88.6,5.7622856245291,Woodlands Avenue 9,320.0,11.582160621520307,Kim Chuan Road,6.5,11.582160621520307,Kim Chuan Road
2025-04-13T14:15:00,Jln Pokok Serunai,1.3136136,103.9365203,1,24.6,2.89131935540986,East Coast Parkway,6.4,2.89131935540986,East Coast Parkway,97.1,2.89131935540986,East Coast Parkway,263.0,2.89131935540986,East Coast Parkway,12.6,2.89131935540986,East Coast Parkway
2025-04-13T14:15:00,Bt Timah Rd (Wilby Rd to Blackmore Dr),1.3410733,103.7769981,1,24.7929,0.8155997898314141,Clementi Road,9.8,0.8155997898314141,Clementi Road,0.0,0.8155997898314141,Clementi Road,305.819,0.8155997898314141,Clementi Road,6.2672,0.8155997898314141,Clementi Road
2025-04-13T14:12:00,Lor Ong Lye (near Lor Lew Lian),1.3521,103.8198,1,24.6,4.956061241628442,Scotts Road,8.60001,1.9143082025139122,Lornie Road,99.3,4.956061241628442,Scotts Road,324.0,4.956061241628442,Scotts Road,6.3,4.956061241628442,Scotts Road
2025-04-13T14:11:00,Junction of Toa Payoh Lor 1 and Toa Payoh Lor 2,1.334,103.8471,1,24.8,2.848715578972751,Scotts Road,7.6,0.9697592779814542,Toa Payoh North,99.3,2.848715578972751,Scotts Road,324.0,2.848715578972751,Scotts Road,6.2,2.848715578972751,Scotts Road
2025-04-13T14:11:00,Eng Kong Pl (Greenridge Cres to Eng Kong Gdn),1.3348802,103.7672269,1,24.8725,1.0733484252095429,Clementi Road,10.4,1.0733484252095429,Clementi Road,0.0,1.0733484252095429,Clementi Road,318.445,1.0733484252095429,Clementi Road,6.60968,1.0733484252095429,Clementi Road
2025-04-13T14:03:00,Upp Paya Lebar Service Rd (Lim Teck Boo Rd to Rochdale Rd),1.3178,103.8918,1,25.3,2.483920121407658,Kim Chuan Road,2.03,1.154441164991131,Geylang East Central,92.3,2.483920121407658,Kim Chuan Road,57.0,2.483920121407658,Kim Chuan Road,7.3,2.483920121407658,Kim Chuan Road
2025-04-13T14:03:00,Jln Lokam (near Upp Paya Lebar Rd),1.3178,103.8918,1,25.3,2.483920121407658,Kim Chuan Road,2.03,1.154441164991131,Geylang East Central,92.3,2.483920121407658,Kim Chuan Road,57.0,2.483920121407658,Kim Chuan Road,7.3,2.483920121407658,Kim Chuan Road
2025-04-13T14:03:00,Thrift Dr (near Jln Usaha),1.3437173,103.8836814,1,25.3,0.6231020293747583,Kim Chuan Road,5.2,0.6231020293747583,Kim Chuan Road,92.3,0.6231020293747583,Kim Chuan Road,57.0,0.6231020293747583,Kim Chuan Road,7.3,0.6231020293747583,Kim Chuan Road
2025-04-13T13:56:00,TPE Slip Rd towards Punggol Rd,1.3984,103.9072,1,26.0,6.819415050997955,Kim Chuan Road,12.4,0.545097923355928,Punggol Central,91.1,6.819415050997955,Kim Chuan Road,33.0,6.819415050997955,Kim Chuan Road,6.8,6.819415050997955,Kim Chuan Road
2025-04-13T13:53:00,KPE(ECP) after Buangkok East Dr Exit,1.3669383,103.9070277,1,26.1,3.676614946998314,Kim Chuan Road,4.95,2.1116338243795196,Hougang Avenue 1,90.1,3.676614946998314,Kim Chuan Road,33.0,3.676614946998314,Kim Chuan Road,6.9,3.676614946998314,Kim Chuan Road
2025-04-13T13:51:00,TPE (Punggol West Flyover),1.3984,103.9072,1,26.2,6.819415050997955,Kim Chuan Road,13.4,0.545097923355928,Punggol Central,89.1,6.819415050997955,Kim Chuan Road,27.0,6.819415050997955,Kim Chuan Road,6.9,6.819415050997955,Kim Chuan Road
2025-04-13T13:49:00,Junction of Yishun Ave 2 and Yishun Ave 5,1.4304,103.8354,1,0.0,5.7622856245291,Woodlands Avenue 9,7.474,1.4597822983363102,Yishun Ring Road,0.0,5.7622856245291,Woodlands Avenue 9,22.0,11.582160621520307,Kim Chuan Road,6.6,11.582160621520307,Kim Chuan Road
2025-04-13T13:39:00,Yishun Avenue 7,1.4304,103.8354,1,0.0,5.7622856245291,Woodlands Avenue 9,12.928,1.4597822983363102,Yishun Ring Road,0.0,5.7622856245291,Woodlands Avenue 9,356.0,11.582160621520307,Kim Chuan Road,7.3,11.582160621520307,Kim Chuan Road
2025-04-05T18:35:00,Jln Arif,1.3680528,103.8833047,1,25.2,3.152935259735223,Kim Chuan Road,12.078,1.4929247575961664,Hougang Avenue 1,91.1,3.152935259735223,Kim Chuan Road,93.0,3.152935259735223,Kim Chuan Road,8.0,3.152935259735223,Kim Chuan Road
2025-03-24T00:37:00,Thomson Rd (Balestier Rd to Novena Rise),1.3203,103.8438,1,23.6,1.349939147486466,Scotts Road,0.8,1.349939147486466,Scotts Road,99.3,1.349939147486466,Scotts Road,50.0,1.349939147486466,Scotts Road,3.7,1.349939147486466,Scotts Road
2025-03-24T00:33:00,Macpherson Rd OD (Siang Kuang Ave),1.3315268,103.8796231,1,24.4,1.2982033393910848,Kim Chuan Road,5.481,1.1189159044982544,Geylang East Central,93.6,1.2982033393910848,Kim Chuan Road,2.0,1.2982033393910848,Kim Chuan Road,5.6,1.2982033393910848,Kim Chuan Road
2025-03-24T00:29:00,Lor Gambir,1.3521,103.8198,1,24.2,4.956061241628442,Scotts Road,10.6,1.9143082025139122,Lornie Road,99.3,4.956061241628442,Scotts Road,39.0,4.956061241628442,Scotts Road,4.3,4.956061241628442,Scotts Road
2025-03-24T00:28:00,Puay Hee Ave (near Siak Kew Ave),1.330954,103.8705239,1,24.4,2.162197230745093,Kim Chuan Road,8.2,1.7756305887250956,Towner Road,93.4,2.162197230745093,Kim Chuan Road,69.0,2.162197230745093,Kim Chuan Road,4.6,2.162197230745093,Kim Chuan Road
2025-03-24T00:28:00,Siang Kuang Ave,1.3292841,103.8710583,1,24.4,2.202124089973319,Kim Chuan Road,8.2,1.7234026086905894,Towner Road,93.4,2.202124089973319,Kim Chuan Road,69.0,2.202124089973319,Kim Chuan Road,4.6,2.202124089973319,Kim Chuan Road
